SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
209020,210057,213023,2013,B,S,2014,1.5,0.442,57.606184
210045,210057,214031,2014,C,L,2017,3.5,0.3528,57.379388
212053,213003,216030,2016,D,S,2017,1.5,0.3674,57.379388
209025,208035,213089,2013,B,L,2015,2.5,0.476,57.152592
210045,210059,214071,2014,C,L,2016,2.5,0.496,57.152592
210015,211067,214094,2014,C,L,2016,2.5,0.176,57.152592
212040,212001,216032,2016,D,L,2019,3.5,0.6939,56.925796
209029,210076,212065,2012,A,L,2014,2.5,0.48,56.699
209020,210074,212074,2012,A,S,2013,1.5,0.352,56.699
209007,210086,213024,2013,B,L,2015,2.5,0.606,56.699
209007,210086,213025,2013,B,S,2014,1.5,0.472,56.699
209058,211047,213067,2013,B,S,2014,1.5,0.428,56.699
209029,210076,212065,2012,A,L,2015,3.5,0.69,56.245408
210039,210067,212082,2012,A,S,2014,2.5,0.42,56.245408
209007,211201,213056,2013,B,L,2016,3.5,0.688,56.245408
209009,208011,213075,2013,B,L,2014,1.5,0.344,56.245408
210015,209015,214127,2014,C,L,2017,3.5,0.4473,56.245408
209058,210094,213062,2013,B,L,2017,4.5,1.2361,56.018612
210097,209064,212007,2012,A,L,2013,1.5,0.256,55.791816
209009,210018,213080,2013,B,L,2014,1.5,0.296,55.791816
212012,212105,216073,2016,D,S,2018,2.5,0.51,55.791816
212040,212001,216031,2016,D,L,2019,3.5,0.3107,55.56502
210039,210003,212057,2012,A,S,2013,1.5,0.472,55.338224
210060,211038,214030,2014,C,L,2016,2.5,0.362,55.338224
210069,211094,214084,2014,C,L,2016,2.5,0.466,55.338224
210089,210072,214131,2014,C,S,2016,2.5,0.492,55.338224
209045,211113,213069,2013,B,L,2015,2.5,0.572,54.884632
209058,210059,213142,2013,B,S,2014,1.5,0.199,54.884632
210089,209024,214013,2014,C,L,2016,2.5,0.224,54.884632
210045,211082,214090,2014,C,S,2015,1.5,0.162,54.884632
210045,210074,214141,2014,C,S,2015,1.5,0.296,54.884632
212016,212047,216026,2016,D,S,2017,1.5,0.404,54.884632
209029,210066,212101,2012,A,L,2014,2.5,0.55,54.43104
209009,211138,213147,2013,B,S,2014,1.5,0.224,54.43104
210060,208025,214041,2014,C,S,2015,1.5,0.422,54.43104
210069,208011,214059,2014,C,S,2015,1.5,0.222,54.43104
210045,211007,214066,2014,C,S,2015,1.5,0.284,54.43104
212012,212063,216039,2016,D,S,2018,2.5,0.4723,54.43104
210069,211009,214052,2014,C,L,2017,3.5,0.7894,54.204244
210089,209026,214036,2014,C,L,2016,2.5,0.41,53.977448
210060,210036,214048,2014,C,S,2015,1.5,0.416,53.977448
210069,211009,214052,2014,C,L,2016,2.5,0.296,53.977448
210069,208011,214060,2014,C,L,2016,2.5,0.214,53.977448
210069,211011,214097,2014,C,L,2016,2.5,0.294,53.977448
209020,209054,212005,2012,A,S,2013,1.5,0.426,53.523856
210045,207029,212053,2012,A,S,2013,1.5,0.336,53.523856
210015,210018,214099,2014,C,S,2015,1.5,0.07,53.523856
209025,210076,213150,2013,B,L,2016,3.5,0.642,53.070264
210060,210104,214029,2014,C,S,2015,1.5,0.352,53.070264
210045,210082,214130,2014,C,L,2016,2.5,0.504,53.070264
210060,211063,214139,2014,C,S,2015,1.5,0.112,53.070264
209020,210086,212018,2012,A,L,2013,1.5,0.146,52.616672
